"ORDEN","CLASE","MARCA","MODELO","FECHA MATRICULA/RADICACION","AÑO","MES","DIA"
"277","MICROBUS","NISSAN","2001","07/11/2000","2000","11.noviembre","07.martes"
"278","CAMIONETA","TOYOTA","2000","04/01/2000","2000","01.enero","04.martes"
"279","AUTOMOVIL","CHEVROLET","2000","10/04/2000","2000","04.abril","10.lunes"
"280","AUTOMOVIL","CHEVROLET","1994","19/09/2000","2000","09.septiembre","19.martes"
"281","CAMIONETA","MAZDA","1994","17/11/2000","2000","11.noviembre","17.viernes"
"282","MOTOCICLETA","YAMAHA","2000","06/01/2000","2000","01.enero","06.jueves"
"283","AUTOMOVIL","MAZDA","1990","06/07/2000","2000","07.julio","06.jueves"
"284","AUTOMOVIL","MAZDA","1997","15/06/2000","2000","06.junio","15.jueves"
"285","MOTOCICLETA","SUZUKI","2000","05/03/2000","2000","03.marzo","05.domingo"
"286","MOTOCICLETA","SUZUKI","2001","26/10/2000","2000","10.octubre","26.jueves"
"287","MOTOCICLETA","HONDA","2000","09/06/2000","2000","06.junio","09.viernes"
"288","AUTOMOVIL","RENAULT","2000","24/02/2000","2000","02.febrero","24.jueves"
"289","MOTOCICLETA","HONDA","1996","26/10/2000","2000","10.octubre","26.jueves"
"290","AUTOMOVIL","RENAULT","1988","19/05/2000","2000","05.mayo","19.viernes"
"291","MOTOCICLETA","YAMAHA","2000","18/08/2000","2000","08.agosto","18.viernes"
"292","CAMIONETA","NISSAN","1999","31/01/2000","2000","01.enero","31.lunes"
"293","CAMIONETA","CHEVROLET","1988","25/07/2000","2000","07.julio","25.martes"
"294","MOTOCICLETA","SUZUKI","2000","15/03/2000","2000","03.marzo","15.miércoles"
"295","AUTOMOVIL","MAZDA","1991","03/11/2000","2000","11.noviembre","03.viernes"
"296","AUTOMOVIL","RENAULT","1998","16/07/2000","2000","07.julio","16.domingo"
"297","AUTOMOVIL","RENAULT","1982","17/05/2000","2000","05.mayo","17.miércoles"
"298","CAMIONETA","CHEVROLET","2000","14/03/2000","2000","03.marzo","14.martes"
"299","MOTOCICLETA","HONDA","2000","03/01/2000","2000","01.enero","03.lunes"
"300","MOTOCICLETA","HONDA","2000","19/05/2000","2000","05.mayo","19.viernes"
"301","MOTOCICLETA","SUZUKI","2000","30/08/2000","2000","08.agosto","30.miércoles"
"302","CAMIONETA","CHEVROLET","2000","15/11/2000","2000","11.noviembre","15.miércoles"
